crash_date,on_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,collision_id,vehicle_type_code1
2021-12-05 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Unspecified",,4485408,"Sedan"
2021-12-08 00:00:00.0000000,,1,0,0,0,1,0,0,0,"Following Too Closely","Reaction to Uninvolved Vehicle",4484852,"Station Wagon/Sport Utility Vehicle"
2021-12-08 00:00:00.0000000,,1,0,0,0,1,0,0,0,"Passing or Lane Usage Improper","Unspecified",4485542,"Box Truck"
2021-12-10 00:00:00.0000000,"FLATBUSH AVENUE",0,0,0,0,0,0,0,0,"Unsafe Lane Changing","Unspecified",4485170,"Garbage or Refuse"
2021-12-08 00:00:00.0000000,"OCEAN PARKWAY",4,0,0,0,0,0,4,0,"Unsafe Speed","Unspecified",4485523,"Taxi"
2021-12-08 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Pavement Slippery",,4484906,"Sedan"
2021-12-08 00:00:00.0000000,"MAJOR DEEGAN EXPRESSWAY",0,0,0,0,0,0,0,0,"Unspecified",,4485036,"Sedan"
2021-12-07 00:00:00.0000000,"CARROLL STREET",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",4485772,"Sedan"
2021-12-08 00:00:00.0000000,"23 STREET",0,0,0,0,0,0,0,0,"View Obstructed/Limited",,4485565,"Sedan"
2021-12-08 00:00:00.0000000,"AVENUE Y",0,0,0,0,0,0,0,0,"Passing Too Closely",,4484836,"Sedan"
2021-12-10 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Oversized Vehicle","Unspecified",4485340,"Station Wagon/Sport Utility Vehicle"
2021-12-10 00:00:00.0000000,"SCHENECTADY AVENUE",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",4485706,"Station Wagon/Sport Utility Vehicle"
2021-12-09 00:00:00.0000000,"47 ROAD",1,0,1,0,0,0,0,0,"Unspecified",,4485384,"Sedan"
2021-12-08 00:00:00.0000000,"HENRY HUDSON PARKWAY",0,0,0,0,0,0,0,0,"Passing or Lane Usage Improper","Unspecified",4484799,"Sedan"
2021-12-09 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Illnes",,4485077,"Sedan"
2021-12-09 00:00:00.0000000,"KINGS HIGHWAY",2,0,0,0,0,0,2,0,"Traffic Control Disregarded","Traffic Control Disregarded",4485090,"Sedan"
2022-03-26 00:00:00.0000000,"CORSON AVENUE",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",4513697,"Sedan"
2022-03-26 00:00:00.0000000,"WEST 101 STREET",1,0,0,0,0,0,1,0,"Traffic Control Disregarded","Unspecified",4513935,"Sedan"
2022-03-26 00:00:00.0000000,"QUEENS BOULEVARD",1,0,0,0,0,0,1,0,"Lost Consciousness","Unspecified",4513794,"Station Wagon/Sport Utility Vehicle"
2022-03-26 00:00:00.0000000,"115 AVENUE",1,0,0,0,0,0,1,0,"Following Too Closely","Unspecified",4514267,"Station Wagon/Sport Utility Vehicle"
2022-03-21 00:00:00.0000000,,1,0,0,0,0,0,1,0,"Following Too Closely","Unspecified",4514237,"Motorcycle"
2022-03-26 00:00:00.0000000,"131 STREET",0,0,0,0,0,0,0,0,"Failure to Yield Right-of-Way","Unspecified",4513470,"Station Wagon/Sport Utility Vehicle"
2022-03-26 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",4513751,"Sedan"
2022-03-26 00:00:00.0000000,"LACONIA AVENUE",2,0,0,0,0,0,2,0,"Failure to Yield Right-of-Way","Unspecified",4514075,"Station Wagon/Sport Utility Vehicle"
2022-03-26 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Unspecified",,4513857,"Station Wagon/Sport Utility Vehicle"
2022-03-26 00:00:00.0000000,"WHITE PLAINS ROAD",2,0,0,0,0,0,2,0,"Alcohol Involvement","Unspecified",4514202,"Station Wagon/Sport Utility Vehicle"
2022-03-26 00:00:00.0000000,"MANHATTAN AVENUE",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",4514347,"Sedan"
2022-03-26 00:00:00.0000000,"AVENUE N",0,0,0,0,0,0,0,0,"Unsafe Speed","Unspecified",4513495,"Sedan"
2022-03-26 00:00:00.0000000,,1,0,0,0,0,0,1,0,"Unsafe Speed","Unspecified",4513874,"Station Wagon/Sport Utility Vehicle"
2022-03-26 00:00:00.0000000,"BRUCKNER BOULEVARD",0,0,0,0,0,0,0,0,"Unspecified",,4514263,"Sedan"
2022-03-10 00:00:00.0000000,"PROSPECT PLACE",4,0,0,0,0,0,4,0,"Other Vehicular","Following Too Closely",4514323,"Station Wagon/Sport Utility Vehicle"
2022-03-24 00:00:00.0000000,"WATSON AVENUE",1,0,1,0,0,0,0,0,"Unspecified",,4514182,"Sedan"
2022-03-26 00:00:00.0000000,"FORT HAMILTON PARKWAY",0,0,0,0,0,0,0,0,"Brakes Defective","Unspecified",4513515,"Station Wagon/Sport Utility Vehicle"
2022-03-26 00:00:00.0000000,"EAST 94 STREET",2,0,2,0,0,0,0,0,"Failure to Yield Right-of-Way",,4513663,"Station Wagon/Sport Utility Vehicle"
2022-03-26 00:00:00.0000000,"114 STREET",0,0,0,0,0,0,0,0,"Passing Too Closely","Unspecified",4513953,"Station Wagon/Sport Utility Vehicle"
2022-03-26 00:00:00.0000000,"EAST 62 STREET",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Driver Inattention/Distraction",4513985,"Sedan"
2022-03-26 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Passing or Lane Usage Improper","Unspecified",4514084,"Sedan"
2022-02-25 00:00:00.0000000,"JAMAICA AVENUE",0,0,0,0,0,0,0,0,"Following Too Closely","Following Too Closely",4514144,"E-Scooter"
2022-03-26 00:00:00.0000000,"WEST 30 STREET",1,0,1,0,0,0,0,0,"Failure to Yield Right-of-Way",,4513606,"Sedan"
2022-03-26 00:00:00.0000000,"SAINT NICHOLAS AVENUE",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",4513564,"Box Truck"
2022-03-17 00:00:00.0000000,"139 STREET",1,0,0,0,0,0,1,0,"Traffic Control Disregarded","Unspecified",4514412,"Sedan"
2022-03-26 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Backing Unsafely","Unspecified",4513587,"Station Wagon/Sport Utility Vehicle"
2021-12-16 00:00:00.0000000,"JACKIE ROBINSON EXPY",0,0,0,0,0,0,0,0,"Unspecified","Unspecified",4487185,"Station Wagon/Sport Utility Vehicle"
2022-03-26 00:00:00.0000000,,1,0,1,0,0,0,0,0,,,4513565,
2022-03-25 00:00:00.0000000,"EAST 241 STREET",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",4514286,"Station Wagon/Sport Utility Vehicle"
2022-03-26 00:00:00.0000000,"47 STREET",1,0,0,0,0,0,1,0,"Driver Inattention/Distraction","Unspecified",4513637,"Sedan"
2022-03-26 00:00:00.0000000,"GOWANUS RAMP",0,0,0,0,0,0,0,0,"Unsafe Speed","Unspecified",4513528,"UTILITY"
2022-03-22 00:00:00.0000000,"GRAND AVENUE",1,0,1,0,0,0,0,0,"Aggressive Driving/Road Rage",,4514139,"Sedan"
2022-03-26 00:00:00.0000000,"SUTTER AVENUE",1,0,0,0,0,0,1,0,"Driver Inattention/Distraction","Unspecified",4513833,"Sedan"
2022-03-26 00:00:00.0000000,"ESSEX STREET",1,0,0,0,0,0,1,0,"Following Too Closely","Unspecified",4513887,"Station Wagon/Sport Utility Vehicle"
2022-03-23 00:00:00.0000000,"FLATBUSH AVENUE",1,0,0,0,0,0,1,0,"Traffic Control Disregarded","Unspecified",4514160,"Sedan"
2022-03-26 00:00:00.0000000,"BRONX RIVER PARKWAY",0,0,0,0,0,0,0,0,"Following Too Closely","Unspecified",4514002,"Sedan"
2022-03-25 00:00:00.0000000,"EAST 120 STREET",1,0,0,0,0,0,1,0,"Traffic Control Disregarded","Unspecified",4514152,"Sedan"
2022-03-26 00:00:00.0000000,"FDR DRIVE",1,0,0,0,0,0,1,0,"Driver Inattention/Distraction","Driver Inattention/Distraction",4513626,"Taxi"
2022-03-26 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",4513774,"Station Wagon/Sport Utility Vehicle"
2022-03-25 00:00:00.0000000,,2,0,0,0,0,0,2,0,"Unspecified","Unspecified",4514376,"Sedan"
2022-03-26 00:00:00.0000000,"EAST 168 STREET",1,0,1,0,0,0,0,0,"Unspecified",,4513982,"Sedan"
2022-03-25 00:00:00.0000000,"GRAND CONCOURSE",0,0,0,0,0,0,0,0,"Passing Too Closely","Unspecified",4514220,"Station Wagon/Sport Utility Vehicle"
2022-03-23 00:00:00.0000000,"GULF AVENUE",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",4514413,"Station Wagon/Sport Utility Vehicle"
2022-03-26 00:00:00.0000000,"AVENUE J",1,0,0,0,0,0,1,0,"Unspecified",,4513664,"Sedan"
2022-03-26 00:00:00.0000000,"WEST FORDHAM ROAD",1,0,0,0,0,0,1,0,"Unspecified",,4513725,"Station Wagon/Sport Utility Vehicle"
2022-03-26 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Unspecified",,4514298,"Sedan"
2022-03-26 00:00:00.0000000,"65 STREET",0,0,0,0,0,0,0,0,"Unspecified","Unspecified",4513573,"Sedan"
2022-03-26 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Turning Improperly","Unspecified",4514201,"Sedan"
2022-03-26 00:00:00.0000000,"GERRITSEN AVENUE",0,0,0,0,0,0,0,0,"Unspecified","Unspecified",4514030,"Station Wagon/Sport Utility Vehicle"
2022-03-26 00:00:00.0000000,"MADISON STREET",0,0,0,0,0,0,0,0,"Unspecified","Unspecified",4514125,"Station Wagon/Sport Utility Vehicle"
2022-03-16 00:00:00.0000000,"49 street",1,0,1,0,0,0,0,0,"Unspecified",,4514194,"Bike"
2022-03-26 00:00:00.0000000,"BUSHWICK AVENUE",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",4514278,"Sedan"
2022-03-26 00:00:00.0000000,,4,0,0,0,0,0,4,0,"Passing Too Closely","Unspecified",4513803,"Sedan"
2022-03-25 00:00:00.0000000,"NOSTRAND AVENUE",0,0,0,0,0,0,0,0,"Traffic Control Disregarded","Unspecified",4514241,"Sedan"
2021-12-12 00:00:00.0000000,"JEROME AVENUE",0,1,0,1,0,0,0,0,"Unspecified",,4487210,"Taxi"
2021-04-13 00:00:00.0000000,"VANDERVORT AVENUE",0,0,0,0,0,0,0,0,"Following Too Closely","Unspecified",4407811,"Sedan"
2021-08-05 00:00:00.0000000,"VERRAZANO BRIDGE",0,0,0,0,0,0,0,0,"Glare","Unspecified",4456746,"Sedan"
2022-03-26 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",4513878,"Station Wagon/Sport Utility Vehicle"
2022-03-26 00:00:00.0000000,,1,0,0,0,1,0,0,0,"Passenger Distraction","Unspecified",4513735,"E-Bike"
2022-03-26 00:00:00.0000000,"ROCKAWAY BOULEVARD",0,0,0,0,0,0,0,0,"Failure to Yield Right-of-Way","Unspecified",4513958,"Station Wagon/Sport Utility Vehicle"
2022-03-25 00:00:00.0000000,,2,0,0,0,0,0,2,0,"Unspecified","Unspecified",4514367,"Sedan"
2022-03-26 00:00:00.0000000,"UNION STREET",0,0,0,0,0,0,0,0,"Passing or Lane Usage Improper","Unspecified",4513681,"Station Wagon/Sport Utility Vehicle"
2022-03-26 00:00:00.0000000,"BROOKLYN QUEENS EXPRESSWAY",1,0,0,0,0,0,1,0,"Reaction to Uninvolved Vehicle","Driver Inattention/Distraction",4514212,"Station Wagon/Sport Utility Vehicle"
2022-03-25 00:00:00.0000000,"PORT RICHMOND AVENUE",1,0,1,0,0,0,0,0,"Failure to Yield Right-of-Way",,4514420,"Sedan"
2022-03-26 00:00:00.0000000,"MCCLEAN AVENUE",0,0,0,0,0,0,0,0,"Backing Unsafely","Unspecified",4513923,"Sedan"
2022-03-26 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Backing Unsafely","Unspecified",4513752,"Sedan"
2022-03-26 00:00:00.0000000,"PARSONS BOULEVARD",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",4513924,"Taxi"
2022-03-26 00:00:00.0000000,,2,0,0,0,0,0,2,0,"Passing or Lane Usage Improper","Unspecified",4513860,"Station Wagon/Sport Utility Vehicle"
2022-03-24 00:00:00.0000000,"MARCY AVENUE",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",4514251,"Sedan"
2022-03-26 00:00:00.0000000,"179 STREET",1,0,0,0,0,0,1,0,"Reaction to Uninvolved Vehicle","Unspecified",4513478,"Sedan"
2022-03-20 00:00:00.0000000,"WEST 76 STREET",1,0,1,0,0,0,0,0,"Backing Unsafely",,4514302,"Sedan"
2022-03-26 00:00:00.0000000,"AVENUE OF THE AMERICAS",0,0,0,0,0,0,0,0,"Passing or Lane Usage Improper","Unspecified",4513708,"Sedan"
2022-03-25 00:00:00.0000000,,0,0,0,0,0,0,0,0,"Following Too Closely","Unspecified",4514189,"Station Wagon/Sport Utility Vehicle"
2022-03-25 00:00:00.0000000,"LEONARD AVENUE",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",4514419,"Station Wagon/Sport Utility Vehicle"
2022-03-21 00:00:00.0000000,"WASHINGTON SQUARE NORTH",1,0,0,0,1,0,0,0,"Driver Inattention/Distraction","Unspecified",4514234,"Sedan"
